Term,RGB,,,,
[rip +,"rgb(235, 195, 165)",,,,
ptr [rax],"rgb(235, 195, 164)",,,,
[rsp +,"rgb(235, 194, 165)",,,,
int3,"rgb(234, 195, 165)",,,,0
mov qword,"rgb(235, 195, 163)",,,,
ptr [rsp,"rgb(235, 194, 164)",,,,
[rax] al,"rgb(235, 193, 165)",,,,
ptr [rip,"rgb(234, 195, 164)",,,,
ptr [rbp,"rgb(234, 194, 165)",,,,
mov rcx,"rgb(233, 195, 165)",,,,
[rax +,"rgb(235, 195, 162)",,,,
[rbp -,"rgb(235, 194, 163)",,,,
ptr [rax,"rgb(235, 193, 164)",,,,
mov rax,"rgb(235, 192, 165)",,,,
[rbp +,"rgb(234, 195, 163)",,,,
rax qword,"rgb(234, 194, 164)",,,,
mov rdx,"rgb(234, 193, 165)",,,,
lea rcx,"rgb(233, 195, 164)",,,,
[rbx +,"rgb(233, 194, 165)",,,,
ptr [rbx,"rgb(232, 195, 165)",,,,
+ 8],"rgb(235, 195, 161)",,,,
rcx qword,"rgb(235, 194, 162)",,,,
ret,"rgb(235, 193, 163)",,,,
+ rax],"rgb(235, 192, 164)",,,,
lea rdx,"rgb(235, 191, 165)",,,,
+ 0x10],"rgb(234, 195, 162)",,,,
add rsp,"rgb(234, 194, 163)",,,,
+ 0x20],"rgb(234, 193, 164)",,,,
mov rbx,"rgb(234, 192, 165)",,,,
call qword,"rgb(233, 195, 163)",,,,
sub rsp,"rgb(233, 194, 164)",,,,
mov r8,"rgb(233, 193, 165)",,,,
[rcx +,"rgb(232, 195, 164)",,,,
ptr [rcx,"rgb(232, 194, 165)",,,,
lea rax,"rgb(231, 195, 165)",,,,
ptr [ebp,"rgb(235, 195, 160)",,,,
rcx [rip,"rgb(235, 194, 161)",,,,
+ 0x30],"rgb(235, 193, 162)",,,,
+ 0x18],"rgb(235, 192, 163)",,,,
rdx qword,"rgb(235, 191, 164)",,,,
rdx [rip,"rgb(235, 190, 165)",,,,
+ 0x28],"rgb(234, 195, 161)",,,,
rsp 0x20,"rgb(234, 194, 162)",,,,
+ 0x40],"rgb(234, 193, 163)",,,,
[ebp -,"rgb(234, 192, 164)",,,,
[rdx +,"rgb(234, 191, 165)",,,,
rax rax,"rgb(233, 195, 162)",,,,
test rax,"rgb(233, 194, 163)",,,,
mov r8d,"rgb(233, 193, 164)",,,,
mov rsi,"rgb(233, 192, 165)",,,,
ptr [rcx],"rgb(232, 195, 163)",,,,
+ 1],"rgb(232, 194, 164)",,,,
jmp qword,"rgb(232, 193, 165)",,,,
pop rbx,"rgb(231, 195, 164)",,,,
pop rbp,"rgb(231, 194, 165)",,,,
[rdi +,"rgb(230, 195, 165)",,,,
+ 0x38],"rgb(235, 195, 159)",,,,
mov rdi,"rgb(235, 194, 160)",,,,
rbx qword,"rgb(235, 193, 161)",,,,
ptr [rdx,"rgb(235, 192, 162)",,,,
[rsi +,"rgb(235, 191, 163)",,,,
rsp 0x28,"rgb(235, 190, 164)",,,,
ptr [rbx],"rgb(235, 189, 165)",,,,
rcx rax,"rgb(234, 195, 160)",,,,
cmp qword,"rgb(234, 194, 161)",,,,
+ 0x50],"rgb(234, 193, 162)",,,,
ptr [rdi,"rgb(234, 192, 163)",,,,
mov r9,"rgb(234, 191, 164)",,,,
lea r8,"rgb(234, 190, 165)",,,,
push rbp,"rgb(233, 195, 161)",,,,
pop rdi,"rgb(233, 194, 162)",,,,
push rbx,"rgb(233, 193, 163)",,,,
ptr [rsi,"rgb(233, 192, 164)",,,,
[r12 +,"rgb(233, 191, 165)",,,,
+ 0x48],"rgb(232, 195, 162)",,,,
pop r12,"rgb(232, 194, 163)",,,,
cmp rax,"rgb(232, 193, 164)",,,,
rax [rip,"rgb(232, 192, 165)",,,,
mov r12,"rgb(231, 195, 163)",,,,
pop rsi,"rgb(231, 194, 164)",,,,
push rdi,"rgb(231, 193, 165)",,,,
ptr [r12,"rgb(230, 195, 164)",,,,
rcx r12,"rgb(230, 194, 165)",,,,
mov rbp,"rgb(229, 195, 165)",,,,
+ 0x58],"rgb(235, 195, 158)",,,,
+ 0x60],"rgb(235, 194, 159)",,,,
rcx rbx,"rgb(235, 193, 160)",,,,
+ 4],"rgb(235, 192, 161)",,,,
ptr [rdi],"rgb(235, 191, 162)",,,,
rcx [rsp,"rgb(235, 190, 163)",,,,
- 8],"rgb(235, 189, 164)",,,,
[esp +,"rgb(235, 188, 165)",,,,
