Term,RGB
0FF006370h 0D7h,"rgb(39, 255, 49)"
ptr [esp-4],"rgb(39, 255, 48)"
jmp [esp-8+arg_0],"rgb(39, 254, 49)"
call PulseEvent,"rgb(38, 255, 49)"
push ds:GetCurrentThreadId,"rgb(39, 255, 47)"
push ds:lstrlenW,"rgb(39, 254, 48)"
push ds:GetStdHandle,"rgb(39, 253, 49)"
push ds:SetLastError,"rgb(38, 255, 48)"
push ds:IsWindow,"rgb(38, 254, 49)"
push ds:ReleaseMutex,"rgb(37, 255, 49)"
push ds:GetDC,"rgb(39, 255, 46)"
push ds:TlsGetValue,"rgb(39, 254, 47)"
push ds:GlobalUnlock,"rgb(39, 253, 48)"
push ds:GetModuleHandleA,"rgb(39, 252, 49)"
push ds:CloseHandle,"rgb(38, 255, 47)"
offset PulseEvent,"rgb(38, 254, 48)"
push ds:SetFocus,"rgb(38, 253, 49)"
offset IsWindow,"rgb(37, 255, 48)"
offset GlobalUnlock,"rgb(37, 254, 49)"
offset FindClose,"rgb(36, 255, 49)"
offset ReleaseMutex,"rgb(39, 255, 45)"
call lstrlen,"rgb(39, 254, 46)"
offset LoadLibraryExA,"rgb(39, 253, 47)"
push ds:GetPriorityClass,"rgb(39, 252, 48)"
call FindClose,"rgb(39, 251, 49)"
offset LoadLibraryExW,"rgb(38, 255, 46)"
push ds:DeleteAtom,"rgb(38, 254, 47)"
dd 15FF905Fh,"rgb(38, 253, 48)"
offset DeleteAtom,"rgb(38, 252, 49)"
push ds:LocalFree,"rgb(37, 255, 47)"
push ds:GlobalFree,"rgb(37, 254, 48)"
[ecx] 0B0h,"rgb(37, 253, 49)"
add [edi+ebx*2-1],"rgb(36, 255, 48)"
[edi+ebx*2-1] ah,"rgb(36, 254, 49)"
add [ebx-1374AA01h],"rgb(35, 255, 49)"
[ebx-1374AA01h] cl,"rgb(39, 255, 44)"
eax ds:638100h[eax*2],"rgb(39, 254, 45)"
dd 15FFF35Fh,"rgb(39, 253, 46)"
dd 15FF5F64h,"rgb(39, 252, 47)"
call loc_6356EC,"rgb(39, 251, 48)"
call ds:LoadLibraryExA[ecx*4],"rgb(39, 250, 49)"
call ds:FindClose[ecx*4],"rgb(38, 255, 45)"
call ds:LocalFree[ecx*4],"rgb(38, 254, 46)"
call ds:SetFocus[ecx*4],"rgb(38, 253, 47)"
