Term,RGB
dword_416104 eax,"rgb(109, 149, 189)"
mov dword_416104,"rgb(109, 149, 188)"
cmp dword_416104,"rgb(109, 148, 189)"
mov dword_416010,"rgb(108, 149, 189)"
mov dword_416004,"rgb(109, 149, 187)"
mov dword_416018,"rgb(109, 148, 188)"
mov dword_416014,"rgb(109, 147, 189)"
mov dword_416000,"rgb(108, 149, 188)"
mov dword_41600C,"rgb(108, 148, 189)"
eax InstanceName,"rgb(107, 149, 189)"
edx InstanceName,"rgb(109, 149, 186)"
edx dword_416010,"rgb(109, 148, 187)"
dword_416104 0FFFFFFFFh,"rgb(109, 147, 188)"
ecx InstanceName,"rgb(109, 146, 189)"
ecx dword_416010,"rgb(108, 149, 187)"
eax dword_416014,"rgb(108, 148, 188)"
edx dword_416014,"rgb(108, 147, 189)"
ecx EndTime,"rgb(107, 149, 188)"
ecx dword_416004,"rgb(107, 148, 189)"
ecx dword_416008,"rgb(106, 149, 189)"
eax dword_41601C,"rgb(109, 149, 185)"
ecx dword_416000,"rgb(109, 148, 186)"
eax dword_416020,"rgb(109, 147, 187)"
dword_416008 ecx,"rgb(109, 146, 188)"
eax dword_416018,"rgb(109, 145, 189)"
eax dword_416010,"rgb(108, 149, 186)"
ecx dword_416014,"rgb(108, 148, 187)"
edx dword_416114,"rgb(108, 147, 188)"
edx dword_41601C,"rgb(108, 146, 189)"
edx dword_416018,"rgb(107, 149, 187)"
edx dword_416004,"rgb(107, 148, 188)"
ecx dword_41601C,"rgb(107, 147, 189)"
dword_416018 eax,"rgb(106, 149, 188)"
eax EndTime,"rgb(106, 148, 189)"
dword_416010 edx,"rgb(105, 149, 189)"
dword_416004 ecx,"rgb(109, 149, 184)"
eax HandleArray,"rgb(109, 148, 185)"
call CreateTraceInstanceId,"rgb(109, 147, 186)"
cmp dword_415944,"rgb(109, 146, 187)"
dword_415944 eax,"rgb(109, 145, 188)"
mov dword_415944,"rgb(109, 144, 189)"
eax dword_416000,"rgb(108, 149, 185)"
dword_416020 edx,"rgb(108, 148, 186)"
ecx dword_41600C,"rgb(108, 147, 187)"
call QueryTraceW,"rgb(108, 146, 188)"
dword_416010 eax,"rgb(108, 145, 189)"
edx EndTime,"rgb(107, 149, 186)"
eax dword_416008,"rgb(107, 148, 187)"
ecx dword_416114,"rgb(107, 147, 188)"
call ProcessTrace,"rgb(107, 146, 189)"
call CertFreeCRLContext,"rgb(106, 149, 187)"
eax dword_416004,"rgb(106, 148, 188)"
ecx dword_416020,"rgb(106, 147, 189)"
eax dword_416114,"rgb(105, 149, 188)"
dword_416000 ecx,"rgb(105, 148, 189)"
dword_416014 edx,"rgb(104, 149, 189)"
dword_416014 eax,"rgb(109, 149, 183)"
ecx dword_416018,"rgb(109, 148, 184)"
dword_41601C ecx,"rgb(109, 147, 185)"
eax TraceHandle,"rgb(109, 146, 186)"
edx HandleArray,"rgb(109, 145, 187)"
dword_41600C eax,"rgb(109, 144, 188)"
dword_416104 1,"rgb(109, 143, 189)"
mov dword_41611C,"rgb(108, 149, 184)"
dword_416020 eax,"rgb(108, 148, 185)"
dword_416104 2,"rgb(108, 147, 186)"
call CryptAcquireContextW,"rgb(108, 146, 187)"
call __vbaGenerateBoundsError,"rgb(108, 145, 188)"
edx dword_416008,"rgb(108, 144, 189)"
edx dword_416000,"rgb(107, 149, 185)"
dword_41601C eax,"rgb(107, 148, 186)"
dword_416010 ecx,"rgb(107, 147, 187)"
ecx HandleArray,"rgb(107, 146, 188)"
dword_41600C ecx,"rgb(107, 145, 189)"
dword_416018 edx,"rgb(106, 149, 186)"
dword_416104 3,"rgb(106, 148, 187)"
dword_416004 eax,"rgb(106, 147, 188)"
dword_416004 edx,"rgb(106, 146, 189)"
dword_416008 edx,"rgb(105, 149, 187)"
dword_41601C edx,"rgb(105, 148, 188)"
dword_416000 eax,"rgb(105, 147, 189)"
mov dword_415324,"rgb(104, 149, 188)"
cmp dword_415324,"rgb(104, 148, 189)"
dword_415324 eax,"rgb(103, 149, 189)"
ecx TraceHandle,"rgb(109, 149, 182)"
