Term,RGB
mov eax,"rgb(159, 49, 159)"
mov ecx,"rgb(159, 49, 158)"
jz short,"rgb(159, 48, 159)"
eax eax,"rgb(158, 49, 159)"
mov edx,"rgb(159, 49, 157)"
mov esi,"rgb(159, 48, 158)"
dword ptr,"rgb(159, 47, 159)"
mov edi,"rgb(158, 49, 158)"
push eax,"rgb(158, 48, 159)"
push esi,"rgb(157, 49, 159)"
xor eax,"rgb(159, 49, 156)"
retn,"rgb(159, 48, 157)"
byte ptr,"rgb(159, 47, 158)"
jmp short,"rgb(159, 46, 159)"
push offset,"rgb(158, 49, 157)"
jnz short,"rgb(158, 48, 158)"
lea eax,"rgb(158, 47, 159)"
pop esi,"rgb(157, 49, 158)"
mov ebx,"rgb(157, 48, 159)"
test eax,"rgb(156, 49, 159)"
push edi,"rgb(159, 49, 155)"
cmp eax,"rgb(159, 48, 156)"
lea ecx,"rgb(159, 47, 157)"
push ecx,"rgb(159, 46, 158)"
mov ebp,"rgb(159, 45, 159)"
push ebp,"rgb(158, 49, 156)"
push ebx,"rgb(158, 48, 157)"
pop ecx,"rgb(158, 47, 158)"
eax ecx,"rgb(158, 46, 159)"
eax esi,"rgb(157, 49, 157)"
esi eax,"rgb(157, 48, 158)"
sub eax,"rgb(157, 47, 159)"
pop edi,"rgb(156, 49, 158)"
jb short,"rgb(156, 48, 159)"
ecx eax,"rgb(155, 49, 159)"
nop,"rgb(159, 49, 154)"
mov dword,"rgb(159, 48, 155)"
jge short,"rgb(159, 47, 156)"
edi edi,"rgb(159, 46, 157)"
sub ecx,"rgb(159, 45, 158)"
ecx edx,"rgb(159, 44, 159)"
pop ebp,"rgb(158, 49, 155)"
eax edx,"rgb(158, 48, 156)"
ecx ecx,"rgb(158, 47, 157)"
pop ebx,"rgb(158, 46, 158)"
xor ecx,"rgb(158, 45, 159)"
push edx,"rgb(157, 49, 156)"
edx edx,"rgb(157, 48, 157)"
jle short,"rgb(157, 47, 158)"
edx ecx,"rgb(157, 46, 159)"
esi esi,"rgb(156, 49, 157)"
