ngram,random_color
push 0,"rgb(167,122,243)"
push -1,"rgb(21,243,232)"
push 0x414a68,"rgb(19,43,34)"
mov ecx,"rgb(181,93,92)"
ecx 0x419724,"rgb(110,177,96)"
call 0xf12e,"rgb(220,172,166)"
push 0x4134d0,"rgb(150,104,185)"
call 0x1120c,"rgb(181,98,186)"
pop ecx,"rgb(17,219,245)"
ret,"rgb(118,61,239)"
int3,"rgb(133,93,221)"
ecx 0x4196d8,"rgb(147,243,84)"
call 0x11c8c,"rgb(1,18,46)"
push 0x4135e0,"rgb(231,223,199)"
push ebp,"rgb(187,106,234)"
mov ebp,"rgb(148,185,115)"
ebp esp,"rgb(11,2,125)"
test ecx,"rgb(238,162,25)"
ecx ecx,"rgb(49,110,22)"
jne 0x1060,"rgb(248,121,51)"
call dword,"rgb(161,159,59)"
dword ptr,"rgb(211,24,173)"
ptr [0x4141dc],"rgb(85,155,105)"
mov dword,"rgb(59,119,75)"
ptr [eax],"rgb(34,18,123)"
[eax] 0x16,"rgb(81,61,55)"
ptr [0x4141b8],"rgb(115,116,252)"
mov eax,"rgb(153,121,137)"
eax 0x16,"rgb(71,164,84)"
pop ebp,"rgb(37,248,54)"
push esi,"rgb(197,70,132)"
mov esi,"rgb(241,146,77)"
esi dword,"rgb(119,102,79)"
ptr [ebp,"rgb(185,166,247)"
[ebp +,"rgb(118,72,155)"
+ 0xc],"rgb(50,3,148)"
push edi,"rgb(150,191,41)"
mov edi,"rgb(194,95,151)"
edi dword,"rgb(228,185,76)"
+ 8],"rgb(145,4,196)"
test edi,"rgb(82,161,139)"
edi edi,"rgb(114,151,47)"
je 0x1085,"rgb(93,231,146)"
cmp esi,"rgb(149,49,169)"
esi 0x400,"rgb(121,68,219)"
ja 0x1085,"rgb(123,120,158)"
push ecx,"rgb(164,58,43)"
call 0x11d68,"rgb(88,117,253)"
add esp,"rgb(81,187,114)"
esp 0xc,"rgb(235,122,170)"
xor eax,"rgb(57,113,179)"
eax eax,"rgb(59,139,27)"
pop edi,"rgb(74,82,111)"
pop esi,"rgb(44,158,80)"
push 0x400,"rgb(102,23,212)"
call 0x11d74,"rgb(122,11,106)"
jne 0x10b4,"rgb(15,124,62)"
jbe 0x10ab,"rgb(16,255,93)"
[eax] 0x22,"rgb(188,90,226)"
eax 0x22,"rgb(33,55,213)"
esi ecx,"rgb(196,37,232)"
xorps xmm0,"rgb(97,216,198)"
xmm0 xmm0,"rgb(196,158,105)"
lea eax,"rgb(226,155,216)"
eax [esi,"rgb(150,211,47)"
[esi +,"rgb(251,254,77)"
+ 4],"rgb(75,3,11)"
push eax,"rgb(169,227,193)"
ptr [esi],"rgb(107,36,101)"
[esi] 0x414480,"rgb(56,21,236)"
movq qword,"rgb(120,206,207)"
qword ptr,"rgb(65,120,94)"
[eax] xmm0,"rgb(186,201,174)"
eax dword,"rgb(217,174,202)"
add eax,"rgb(14,22,133)"
eax 4,"rgb(46,185,173)"
ptr [0x41416c],"rgb(247,73,31)"
esp 8,"rgb(87,89,66)"
eax esi,"rgb(53,176,249)"
ret 4,"rgb(18,120,21)"
ecx dword,"rgb(81,183,39)"
ptr [ecx,"rgb(139,209,198)"
[ecx +,"rgb(35,222,138)"
eax 0x414824,"rgb(210,29,15)"
cmovne eax,"rgb(37,162,11)"
eax ecx,"rgb(29,140,167)"
ptr [0x414168],"rgb(25,102,63)"
esp 4,"rgb(95,150,118)"
test byte,"rgb(148,10,79)"
byte ptr,"rgb(232,232,106)"
8] 1,"rgb(61,140,164)"
je 0x114a,"rgb(218,111,155)"
push 0xc,"rgb(120,8,150)"
call 0x10d81,"rgb(55,122,60)"
eax [ecx,"rgb(116,162,174)"
ptr [ecx],"rgb(8,248,153)"
[ecx] 0x414480,"rgb(189,244,154)"
4] xmm0,"rgb(199,205,110)"
4] 0x414838,"rgb(147,202,68)"
[ecx] 0x414498,"rgb(3,189,13)"
sub esp,"rgb(103,5,194)"
lea ecx,"rgb(124,222,157)"
ecx [ebp,"rgb(193,69,208)"
[ebp -,"rgb(111,199,179)"
- 0xc],"rgb(132,70,228)"
call 0x1180,"rgb(230,113,222)"
push 0x4171c0,"rgb(90,170,200)"
eax [ebp,"rgb(21,167,226)"
call 0x11d56,"rgb(206,48,246)"
[esi] 0x414498,"rgb(45,22,45)"
[esi] 0x41448c,"rgb(63,17,217)"
add dword,"rgb(59,129,185)"
[eax] 0x23,"rgb(249,215,121)"
mov edx,"rgb(207,170,6)"
edx dword,"rgb(127,184,224)"
ptr [eax,"rgb(66,91,122)"
[eax -,"rgb(88,203,127)"
- 4],"rgb(46,59,42)"
sub eax,"rgb(25,132,144)"
eax edx,"rgb(205,146,229)"
eax -4,"rgb(91,221,104)"
cmp eax,"rgb(49,108,164)"
eax 0x1f,"rgb(92,53,82)"
ja 0x125f,"rgb(91,211,32)"
[ecx] edx,"rgb(219,87,199)"
jmp dword,"rgb(103,64,201)"
ptr [0x4141e0],"rgb(47,180,138)"
push 0x414850,"rgb(206,17,138)"
ptr [0x41411c],"rgb(187,57,100)"
push 0x414860,"rgb(237,79,148)"
cmp byte,"rgb(190,58,82)"
ptr [esi,"rgb(78,17,221)"
4] 0,"rgb(2,58,180)"
je 0x12ae,"rgb(122,225,137)"
test eax,"rgb(245,132,48)"
je 0x12a6,"rgb(69,9,73)"
ptr [0x414030],"rgb(120,133,122)"
[esi] 0,"rgb(46,69,177)"
push dword,"rgb(255,102,42)"
ptr [0x41402c],"rgb(28,176,223)"
ptr [0x4140f4],"rgb(173,222,68)"
push 0x411ed0,"rgb(59,162,20)"
ptr fs:[0],"rgb(193,179,103)"
esp 0x858,"rgb(239,43,78)"
ptr [0x419014],"rgb(254,79,121)"
eax ebp,"rgb(86,7,214)"
- 0x18],"rgb(200,135,65)"
0x18] eax,"rgb(175,201,112)"
push ebx,"rgb(66,230,80)"
fs:[0] eax,"rgb(187,179,99)"
- 0x10],"rgb(216,146,76)"
0x10] esp,"rgb(209,108,50)"
mov ebx,"rgb(58,172,11)"
ebx dword,"rgb(143,171,138)"
- 0x85c],"rgb(236,164,132)"
0x85c] ebx,"rgb(214,21,19)"
test ebx,"rgb(81,162,66)"
ebx ebx,"rgb(182,216,52)"
jne 0x1316,"rgb(224,135,162)"
eax [ebx,"rgb(94,77,165)"
[ebx +,"rgb(244,62,255)"
jmp 0x164a,"rgb(204,116,252)"
cmp dword,"rgb(78,15,199)"
ptr [ebx,"rgb(241,6,120)"
+ 0x10],"rgb(78,50,133)"
0x10] 0,"rgb(56,161,35)"
- 0x860],"rgb(252,167,252)"
0x860] ebx,"rgb(125,40,34)"
jne 0x1327,"rgb(137,120,99)"
+ 0x2c],"rgb(88,55,11)"
jmp 0x1329,"rgb(242,233,115)"
xor esi,"rgb(227,64,125)"
esi esi,"rgb(230,169,244)"
ptr [ebx],"rgb(89,211,222)"
+ 0x90],"rgb(18,13,133)"
- 0x864],"rgb(136,164,161)"
0x864] esi,"rgb(79,252,18)"
- 0x850],"rgb(163,208,71)"
0x850] ecx,"rgb(241,177,220)"
- 0x854],"rgb(245,158,66)"
0x854] eax,"rgb(70,188,196)"
- 0x858],"rgb(188,205,100)"
0x858] edi,"rgb(54,79,98)"
nop dword,"rgb(225,44,139)"
ptr [0x414018],"rgb(174,47,136)"
eax 0x102,"rgb(158,100,227)"
jne 0x1648,"rgb(127,149,50)"
- 0x83c],"rgb(113,178,182)"
- 0x24],"rgb(181,132,1)"
0x24] 0,"rgb(75,61,115)"
- 0x1c],"rgb(229,129,31)"
0x1c] 0,"rgb(208,243,150)"
- 0x84c],"rgb(230,8,255)"
0x84c] 0,"rgb(63,151,249)"
- 0x848],"rgb(119,177,80)"
0x848] 0,"rgb(213,26,72)"
- 0x844],"rgb(15,252,137)"
0x844] 0,"rgb(243,13,54)"
- 0x840],"rgb(35,186,34)"
0x840] 0,"rgb(64,224,24)"
- 0x43c],"rgb(251,160,241)"
0x43c] 0,"rgb(28,211,125)"
- 0x434],"rgb(85,167,13)"
- 0x438],"rgb(226,19,152)"
0x438] 0,"rgb(228,17,208)"
push 0x404,"rgb(97,35,3)"
ptr [0x414060],"rgb(107,241,83)"
0x854] 0,"rgb(73,234,137)"
je 0x1473,"rgb(86,167,160)"
- 0x20],"rgb(42,32,35)"
0x20] 0,"rgb(99,135,156)"
ecx edi,"rgb(158,53,123)"
ptr [0x414234],"rgb(194,156,75)"
call edi,"rgb(65,197,195)"
0x43c] eax,"rgb(115,6,11)"
push 0x410,"rgb(217,11,42)"
0x438] 0xfffffffa,"rgb(156,87,237)"
ptr [0x4140ec],"rgb(212,159,71)"
push 0x40c,"rgb(44,85,10)"
ptr [0x4140fc],"rgb(12,216,4)"
ptr [0x414020],"rgb(216,160,32)"
jmp 0x1350,"rgb(19,206,230)"
je 0x1461,"rgb(52,252,240)"
0x24] 0x410,"rgb(133,139,159)"
jne 0x1668,"rgb(75,12,15)"
je 0x15ec,"rgb(144,76,75)"
cmp ecx,"rgb(163,106,209)"
ecx 3,"rgb(58,26,158)"
je 0x15ef,"rgb(252,133,109)"
0x840] 0x400,"rgb(226,116,53)"
ja 0x15ec,"rgb(39,1,216)"
+ 0x14],"rgb(41,0,147)"
- 0x28],"rgb(7,144,94)"
0x28] ecx,"rgb(108,57,44)"
0x20] eax,"rgb(169,127,253)"
ptr [0x414104],"rgb(243,197,216)"
+ 0x38],"rgb(36,131,5)"
ptr [edi,"rgb(129,112,78)"
[edi +,"rgb(170,75,37)"
[eax +,"rgb(208,184,198)"
+ 0xd],"rgb(114,89,158)"
0xd] 0,"rgb(205,46,50)"
jne 0x14f9,"rgb(152,206,137)"
0x10] edx,"rgb(110,243,51)"
jae 0x14ef,"rgb(157,95,137)"
jmp 0x14f3,"rgb(218,161,64)"
ecx eax,"rgb(34,71,76)"
je 0x14e5,"rgb(60,248,81)"
jne 0x159c,"rgb(131,50,78)"
cmp edx,"rgb(45,25,227)"
jb 0x159c,"rgb(47,144,144)"
je 0x159c,"rgb(146,167,27)"
ecx [ebx,"rgb(50,35,237)"
call 0x1e00,"rgb(250,211,229)"
4] 0xffffffff,"rgb(86,34,236)"
jmp 0x15b2,"rgb(44,209,197)"
+ 0x88],"rgb(179,207,58)"
0x88] 0,"rgb(225,216,48)"
jne 0x1683,"rgb(206,9,93)"
eax 0x401581,"rgb(47,158,186)"
