Term,RGB
mov eax,"rgb(14, 159, 159)"
mov ecx,"rgb(14, 159, 158)"
dword ptr,"rgb(14, 158, 159)"
retn,"rgb(13, 159, 159)"
mov edi,"rgb(14, 159, 157)"
mov edx,"rgb(14, 158, 158)"
eax eax,"rgb(14, 157, 159)"
mov esi,"rgb(13, 159, 158)"
jz short,"rgb(13, 158, 159)"
push eax,"rgb(12, 159, 159)"
push esi,"rgb(14, 159, 156)"
byte ptr,"rgb(14, 158, 157)"
xor eax,"rgb(14, 157, 158)"
nop,"rgb(14, 156, 159)"
edi edi,"rgb(13, 159, 157)"
push edi,"rgb(13, 158, 158)"
mov ebp,"rgb(13, 157, 159)"
push ebp,"rgb(12, 159, 158)"
push dword,"rgb(12, 158, 159)"
pop ebp,"rgb(11, 159, 159)"
jnz short,"rgb(14, 159, 155)"
lea eax,"rgb(14, 158, 156)"
push ecx,"rgb(14, 157, 157)"
pop esi,"rgb(14, 156, 158)"
pop ecx,"rgb(14, 155, 159)"
ebp esp,"rgb(13, 159, 156)"
pop edi,"rgb(13, 158, 157)"
mov ebx,"rgb(13, 157, 158)"
jmp short,"rgb(13, 156, 159)"
sub esp,"rgb(12, 159, 157)"
lea ecx,"rgb(12, 158, 158)"
push ebx,"rgb(12, 157, 159)"
cmp eax,"rgb(11, 159, 158)"
push edx,"rgb(11, 158, 159)"
test eax,"rgb(10, 159, 159)"
mov dword,"rgb(14, 159, 154)"
eax esi,"rgb(14, 158, 155)"
jb short,"rgb(14, 157, 156)"
esp 4,"rgb(14, 156, 157)"
esi eax,"rgb(14, 155, 158)"
pop eax,"rgb(14, 154, 159)"
push 0,"rgb(13, 159, 155)"
eax ecx,"rgb(13, 158, 156)"
push offset,"rgb(13, 157, 157)"
pop ebx,"rgb(13, 156, 158)"
xor ecx,"rgb(13, 155, 159)"
ecx ecx,"rgb(12, 159, 156)"
ecx edx,"rgb(12, 158, 157)"
eax edx,"rgb(12, 157, 158)"
ecx esi,"rgb(12, 156, 159)"
esi ecx,"rgb(11, 159, 157)"
ecx eax,"rgb(11, 158, 158)"
sub ecx,"rgb(11, 157, 159)"
esi esi,"rgb(10, 159, 158)"
edx edx,"rgb(10, 158, 159)"
sub eax,"rgb(9, 159, 159)"
word ptr,"rgb(14, 159, 153)"
edx ecx,"rgb(14, 158, 154)"
xor edx,"rgb(14, 157, 155)"
test esi,"rgb(14, 156, 156)"
and edx,"rgb(14, 155, 157)"
pop edx,"rgb(14, 154, 158)"
esp 0Ch,"rgb(14, 153, 159)"
sub esi,"rgb(13, 159, 154)"
esp 10h,"rgb(13, 158, 155)"
esp 8,"rgb(13, 157, 156)"
mov byte,"rgb(13, 156, 157)"
lea edi,"rgb(13, 155, 158)"
lea edx,"rgb(13, 154, 159)"
eax ebx,"rgb(12, 159, 155)"
eax offset,"rgb(12, 158, 156)"
or eax,"rgb(12, 157, 157)"
edx eax,"rgb(12, 156, 158)"
ptr [eax],"rgb(12, 155, 159)"
cmp ecx,"rgb(11, 159, 156)"
retn 4,"rgb(11, 158, 157)"
eax edi,"rgb(11, 157, 158)"
jl short,"rgb(11, 156, 159)"
inc eax,"rgb(10, 159, 157)"
ecx edi,"rgb(10, 158, 158)"
call eax,"rgb(10, 157, 159)"
edi esi,"rgb(9, 159, 158)"
edx,"rgb(9, 158, 159)"
ebx eax,"rgb(8, 159, 159)"
xor ebx,"rgb(14, 159, 152)"
pushf,"rgb(14, 158, 153)"
popf,"rgb(14, 157, 154)"
lea esi,"rgb(14, 156, 155)"
and ecx,"rgb(14, 155, 156)"
xchg eax,"rgb(14, 154, 157)"
inc edx,"rgb(14, 153, 158)"
esp 2Ch,"rgb(14, 152, 159)"
jbe short,"rgb(13, 159, 153)"
esi edx,"rgb(13, 158, 154)"
lea ebx,"rgb(13, 157, 155)"
or edx,"rgb(13, 156, 156)"
mov al,"rgb(13, 155, 157)"
cmp edx,"rgb(13, 154, 158)"
ebx ebx,"rgb(13, 153, 159)"
cmp esi,"rgb(12, 159, 154)"
ecx offset,"rgb(12, 158, 155)"
edi ecx,"rgb(12, 157, 156)"
cmp edi,"rgb(12, 156, 157)"
edi eax,"rgb(12, 155, 158)"
mov dl,"rgb(12, 154, 159)"
eax 5,"rgb(11, 159, 155)"
mov word,"rgb(11, 158, 156)"
mov cl,"rgb(11, 157, 157)"
ebx ecx,"rgb(11, 156, 158)"
ptr [esi],"rgb(11, 155, 159)"
imul eax,"rgb(10, 159, 156)"
and dword,"rgb(10, 158, 157)"
and eax,"rgb(10, 157, 158)"
xor edi,"rgb(10, 156, 159)"
stosd,"rgb(9, 159, 157)"
cdq,"rgb(9, 158, 158)"
edi edx,"rgb(9, 157, 159)"
or esi,"rgb(8, 159, 158)"
ecx ebx,"rgb(8, 158, 159)"
call edi,"rgb(7, 159, 159)"
eax 3,"rgb(14, 159, 151)"
edx ebx,"rgb(14, 158, 152)"
call dword,"rgb(14, 157, 153)"
mov [ecx],"rgb(14, 156, 154)"
mov [ebp+var_4],"rgb(14, 155, 155)"
push 5,"rgb(14, 154, 156)"
ebx edx,"rgb(14, 153, 157)"
cmp ebx,"rgb(14, 152, 158)"
xor esi,"rgb(14, 151, 159)"
qword ptr,"rgb(13, 159, 152)"
eax 1,"rgb(13, 158, 153)"
esi ebx,"rgb(13, 157, 154)"
test edi,"rgb(13, 156, 155)"
mov [eax],"rgb(13, 155, 156)"
mov [ebp+var_10],"rgb(13, 154, 157)"
sub edx,"rgb(13, 153, 158)"
test ecx,"rgb(13, 152, 159)"
retn 8,"rgb(12, 159, 153)"
edx esi,"rgb(12, 158, 154)"
imul edx,"rgb(12, 157, 155)"
edx 1Fh,"rgb(12, 156, 156)"
push 2,"rgb(12, 155, 157)"
esi [ecx],"rgb(12, 154, 158)"
esp 1Ch,"rgb(12, 153, 159)"
movsd,"rgb(11, 159, 154)"
ptr [esi+18h],"rgb(11, 158, 155)"
edx 0FFFFFFE0h,"rgb(11, 157, 156)"
ptr [esp+0],"rgb(11, 156, 157)"
test edx,"rgb(11, 155, 158)"
edi ebx,"rgb(11, 154, 159)"
eax,"rgb(10, 159, 155)"
mov [esi+14h],"rgb(10, 158, 156)"
ebx edi,"rgb(10, 157, 157)"
esi,"rgb(10, 156, 158)"
ecx [ebp+var_4],"rgb(10, 155, 159)"
mov [ebp+var_C],"rgb(9, 159, 156)"
shr edx,"rgb(9, 158, 157)"
edx edi,"rgb(9, 157, 158)"
esi edi,"rgb(9, 156, 159)"
esp 28h,"rgb(8, 159, 157)"
mov [ecx+4],"rgb(8, 158, 158)"
